OrderID,EmployeeID,CustomerTableID,OrderDate,CompletedDate
1,7,1,2022-02-06,2022-02-10
2,7,2,2022-02-11,2022-02-16
3,9,3,2022-02-11,2022-02-18
4,8,4,2022-02-13,2022-02-16
5,8,5,2022-02-15,2022-02-18
6,6,6,2022-02-17,2022-02-22
7,7,7,2022-02-28,2022-03-02
8,6,8,2022-02-28,2022-03-05
9,8,9,2022-03-02,2022-03-06
10,8,2,2022-03-05,2022-03-12
11,2,10,2022-03-09,2022-03-13
12,2,3,2022-03-10,2022-03-16
13,6,11,2022-03-10,2022-03-14
14,7,12,2022-03-15,2022-03-22
15,9,13,2022-03-17,2022-03-22
16,3,6,2022-03-18,2022-03-22
17,7,2,2022-03-19,2022-03-26
18,9,14,2022-03-20,2022-03-24
19,5,2,2022-03-21,2022-03-26
20,3,11,2022-03-27,2022-04-03
21,6,15,2022-03-29,2022-04-01
22,9,11,2022-03-31,2022-04-03
23,1,16,2022-04-01,2022-04-07
24,1,5,2022-04-04,2022-04-07
25,9,2,2022-04-09,2022-04-12
26,8,7,2022-04-09,2022-04-13
27,9,17,2022-04-09,2022-04-14
28,8,18,2022-04-18,2022-04-20
29,3,19,2022-04-23,2022-04-29
30,5,7,2022-04-24,2022-04-30
31,3,11,2022-04-26,2022-04-29
32,9,13,2022-04-27,2022-05-02
33,1,6,2022-04-29,2022-05-04
34,5,6,2022-05-02,2022-05-05
35,3,20,2022-05-02,2022-05-07
36,5,21,2022-05-09,2022-05-15
37,7,22,2022-05-10,2022-05-12
38,9,23,2022-05-11,2022-05-14
39,9,1,2022-05-15,2022-05-20
40,7,12,2022-05-16,2022-05-23
41,7,19,2022-05-25,2022-05-30
42,5,24,2022-05-26,2022-06-02
43,7,25,2022-05-26,2022-05-28
44,5,26,2022-05-26,2022-06-01
45,2,20,2022-05-27,2022-05-30
46,7,2,2022-05-28,2022-05-30
47,3,27,2022-05-29,2022-06-05
48,8,21,2022-06-03,2022-06-10
49,6,8,2022-06-06,2022-06-12
50,9,13,2022-06-07,2022-06-13
51,8,13,2022-06-07,2022-06-13
52,8,20,2022-06-07,2022-06-10
53,2,2,2022-06-09,2022-06-16
54,8,23,2022-06-09,2022-06-12
55,5,28,2022-06-09,2022-06-16
56,2,15,2022-06-10,2022-06-14
57,2,29,2022-06-11,2022-06-16
58,6,14,2022-06-16,2022-06-22
59,8,16,2022-06-19,2022-06-23
60,7,30,2022-06-20,2022-06-26
61,6,23,2022-06-22,2022-06-29
62,7,24,2022-06-22,2022-06-29
63,5,13,2022-06-23,2022-06-29
64,8,21,2022-06-23,2022-06-28
65,4,19,2022-06-25,2022-07-02
66,5,18,2022-06-26,2022-06-29
67,3,29,2022-06-26,2022-06-30
68,2,29,2022-06-26,2022-06-30
69,7,12,2022-06-28,2022-06-30
70,6,20,2022-06-28,2022-07-05
71,1,8,2022-06-30,2022-07-06
72,9,31,2022-07-03,2022-07-10
73,8,15,2022-07-05,2022-07-11
74,5,10,2022-07-06,2022-07-12
75,6,15,2022-07-07,2022-07-13
76,7,20,2022-07-07,2022-07-12
77,5,19,2022-07-08,2022-07-11
78,7,29,2022-07-08,2022-07-13
79,7,32,2022-07-08,2022-07-13
80,4,12,2022-07-11,2022-07-18
81,8,23,2022-07-13,2022-07-18
82,2,33,2022-07-13,2022-07-15
83,1,4,2022-07-15,2022-07-20
84,1,23,2022-07-16,2022-07-20
85,8,11,2022-07-18,2022-07-21
86,9,3,2022-07-19,2022-07-24
87,7,31,2022-07-19,2022-07-26
88,6,26,2022-07-24,2022-07-31
89,9,34,2022-07-24,2022-07-28
90,4,6,2022-07-25,2022-07-29
91,2,35,2022-07-25,2022-08-01
92,7,17,2022-07-27,2022-07-29
93,4,25,2022-07-27,2022-08-01
94,8,19,2022-07-29,2022-08-05
95,9,7,2022-07-30,2022-08-04
96,8,8,2022-07-30,2022-08-05
97,9,31,2022-07-30,2022-08-02
98,3,4,2022-08-01,2022-08-05
99,2,36,2022-08-02,2022-08-09
100,9,37,2022-08-02,2022-08-09
101,7,4,2022-08-04,2022-08-06
102,1,20,2022-08-04,2022-08-11
103,5,31,2022-08-04,2022-08-11
104,5,14,2022-08-05,2022-08-10
105,6,38,2022-08-06,2022-08-10
106,7,33,2022-08-08,2022-08-12
107,9,8,2022-08-11,2022-08-14
108,7,29,2022-08-12,2022-08-18
109,3,31,2022-08-15,2022-08-18
110,8,4,2022-08-16,2022-08-22
111,4,33,2022-08-16,2022-08-18
112,9,15,2022-08-17,2022-08-21
113,4,39,2022-08-18,2022-08-21
114,9,24,2022-08-20,2022-08-25
115,7,7,2022-08-22,2022-08-29
116,5,15,2022-08-22,2022-08-28
117,5,25,2022-08-22,2022-08-27
118,3,14,2022-08-23,2022-08-25
119,3,31,2022-08-24,2022-08-31
120,5,13,2022-08-27,2022-09-03
121,6,4,2022-08-29,2022-08-31
122,9,26,2022-08-29,2022-08-31
123,5,19,2022-08-30,2022-09-01
124,7,40,2022-08-30,2022-09-06
125,2,31,2022-08-31,2022-09-05
126,7,41,2022-09-01,2022-09-06
127,5,28,2022-09-02,2022-09-07
128,5,2,2022-09-04,2022-09-10
129,3,38,2022-09-04,2022-09-08
130,7,5,2022-09-05,2022-09-11
131,2,14,2022-09-05,2022-09-10
132,1,11,2022-09-07,2022-09-14
133,6,42,2022-09-07,2022-09-14
134,1,1,2022-09-11,2022-09-17
135,2,7,2022-09-11,2022-09-17
136,5,8,2022-09-11,2022-09-18
137,5,43,2022-09-13,2022-09-20
138,5,16,2022-09-14,2022-09-16
139,1,16,2022-09-15,2022-09-18
